Definition	Konzept
verächtlich Kaffeebrühe	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
verächtlich für schlechten Birnenwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
verächtlich von abgestandenem Bier und anderen Getränken	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Bier
viel Alkohol trinken	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken
viel trinken	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken
viel trinken, saufen	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken
viel trinken, zechen	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken
von einem Teilnehmer einer Gesellschaft gestiftetes Getränk	Getränk
von einem Trinker als schwach bezeichneter Whisky	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
von oben wegtrinken	Trinken
von verdorbenem Kaffee	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
vor dem Heimgehen an der Theke der Wirtschaft getrunkenes Getränk	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk
was man auf einmal trinkt	Getränk
wilder Wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
wässeriger Kaffee, dünne Suppe	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
zechen	Trinken.Alkohol_trinken
zechen, pokulieren, tüchtig trinken	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken
zechen, saufen	Trinken.Alkohol_trinken
zechen, schlemmen	Trinken.Alkohol_trinken
zechen, trinken	Trinken.Alkohol_trinken
zu Ende schöppeln, trinken	Trinken.Alkohol_trinken; Trinken.Austrinken
zur Löschung des Durstes verbrauchen	Trinken
zutrinken, zuprosten	Trinken
übermäßig trinken	Trinken.Alkohol_trinken; Trinken.Schnell_große_Mengen_trinken
übtr. Frühschoppen. In der guten, alten Zeit durften die Wirtshäuser am Sonntag Vormittag vor Schluss des Gottesdienstes um 11 Uhr keine Gäste aufnehmen; der Wirtshausgang um diese Zeit wurde dann scherzhaft E. genannt	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk
